Error results for RHC,
2799.636,691.223
2781.97,670.034
2849.579,706.849
2767.871,682.744
2701.049,642.805
2751.171,668.726
2738.642,666.155
2842.089,695.462
2715.498,650.956
2760.654,657.068
2811.468,691.082
2767.429,683.246
2910.938,716.484
2692.838,641.73
2850.357,706.369
2715.971,650.534
3031.934,748.327
3027.277,743.102
2799.981,690.57
2771.479,675.375
2778.788,674.277
2729.628,666.977
2910.986,709.398
2701.454,650.056
2996.913,737.194
2808.128,702.755
2803.283,689.488
2817.638,705.356
2817.038,705.048
3075.947,760.633
2671.725,630.214
2745.221,663.747
3227.618,781.074
2686.345,636.518
2757.792,668.948
2897.521,734.564
2762.878,675.649
2873.329,722.66
2669.534,623.972
2784.865,681.106
2793.854,678.943
2751.761,663.182
2833.827,706.928
2749.677,673.492
2742.731,636.265
2723.235,660.408
2782.669,680.137
2721.721,660.707
2854.535,709.132
2747.727,661.278
2839.646,700.354
2751.609,662.614
2736.473,663.665
2733.214,664.571
2706.414,648.945
2851.079,709.725
2738.752,665.201
2781.165,690.772
2791.663,680.83
2909.056,721.147
2752.959,675.556
2738.873,661.151
2766.912,662.551
2782.2,679.173
2768.762,674.31
2753.597,672.836
2745.006,661.917
2760.801,672.701
2765.426,668.04
2718.23,648.134
2806.154,677.214
2698.075,640.658
2664.879,623.104
2775.713,683.375
2896.668,725.376
2757.024,671.697
2683.03,634.856
2720.75,659.117
3239.17,798.223
2690.911,640.551
2720.733,648.712
2697.008,642.167
2756.591,672.258
2696.515,638.864
2767.534,678.425
2738.22,661.728
2757.128,677.494
2771.056,679.529
2793.672,689.501
2692.082,645.411
2855.725,719.424
2824.313,696.958
2783.644,690.91
2891.046,701.518
2818.202,694.525
2823.579,696.158
2780.195,678.38
2830.222,700.825
2800.501,685.029
2755.527,675.73
2751.618,666.946
2818.902,695.855
2778.79,691.353
2753.653,671.616
2917.742,702.18
2744.062,671.276
2753.941,676.233
2821.724,692.178
2831.516,683.541
2723.665,650.201
2866.528,730.337
2997.506,769.352
2792.868,685.659
2752.997,671.755
2885.106,698.85
2780.316,687.999
2745.594,674.265
2835.334,707.114
2753.074,674.824
2768.782,676.939
2737.824,665.422
2820.019,685.524
2753.773,672.408
2732.021,663.536
2748.723,670.842
2794.092,690.716
2725.158,659.883
2832.274,716.182
2720.188,651.317
2796.109,691.844
2777.346,686.683
2761.582,670.221
2782.872,665.256
2782.881,692.175
2753.641,676.248
2794.855,694.763
2760.87,675.987
2816.675,703.299
2776.249,684.118
2747.94,657.592
2882.705,708.623
2829.859,709.647
2734.484,660.551
2802.337,689.258
2732.022,663.325
2785.609,675.397
2766.195,676.526
2773.098,683.627
2764.997,683.634
2732.849,657.513
2740.523,666.397
2731.117,661.338
2757.643,671.704
2741.749,662.852
2743.758,668.19
2841.115,708.506
2813.022,699.543
2787.61,691.401
2824.888,703.486
2732.225,660.729
2779.118,682.614
2745.609,672.339
2740.661,667.345
2733.43,643.594
2747.178,668.977
2745.222,650.214
2722.193,655.918
2749.169,659.491
2760.856,672.628
2767.001,678.171
2640.824,605.303
2790.385,688.784
2818.546,698.216
2736.785,655.714
2766.671,677.94
2656.098,619.387
2915.527,733.674
2726.817,657.575
2741.822,648.235
3003.011,757.519
2758.817,679.595
2757.812,678.715
2763.008,682.954
2740.739,671.817
2644.573,608.831
2735.574,665.518
2845.499,716.347
2713.812,638.023
2672.259,631.258
2804.22,699.784
2778.684,687.951
2729.833,648.626
2751.827,678.075
2768.447,681.986
2712.565,635.274
2778.531,688.332
2678.78,607.529
2752.727,658.344
2664.724,625.188
2638.877,609.096
2666.249,624.324
2714.329,645.298
2702.195,641.986
2679.255,634.204
2672.466,629.956
2662.472,624.427
2665.147,622.771
2658.965,625.703
2785.649,688.954
2759.239,679.863
2663.533,623.386
2671.335,632.445
2745.625,664.666
2752.124,677.831
2659.135,620.873
2667.069,627.153
2664.986,620.998
2664.99,620.995
2668.326,618.279
2730.495,664.54
2796.375,696.416
2764.67,676.953
2739.736,649.015
2752.416,678.005
2748.969,670.646
2743.963,649.973
2675.43,627.935
2737.644,666.793
2663.49,619.82
2608.404,595.627
2671.963,619.046
2671.125,620.914
2675.147,629.368
2659.29,620.861
2674.409,626.523
2750.596,655.345
2669.062,626.353
2678.417,631.329
2678.075,631.89
2750.549,675.19
2667.96,626.35
2742.987,649.174
2747.327,669.567
2673.658,626.545
2672.359,627.357
2669.377,631.677
2659.745,622.875
2671.675,623.298
2672.355,627.405
2667.968,623.201
2665.797,617.897
2667.838,626.365
2665.918,621.436
2668.864,628.102
2665.732,626.395
2677.62,628.5
2675.121,626.038
2747.708,653.043
2666.457,626.248
2750.99,675.244
2680.055,632.237
2738.187,644.735
2666.457,626.248
2657.672,628.964
2730.848,663.051
2750.9,655.185
2667.388,624.669
2666.232,621.63
2657.662,624.322
2677.522,631.061
2666.321,624.63
2674.361,626.434
2723.155,650.771
2659.781,622.628
2672.256,626.161
2665.63,622.613
2667.895,622.564
2659.753,624.048
2659.319,625.861
2677.039,630.283
2743.27,649.092
2726,641.081
2647.362,616.348
2662.099,625.389
2662.775,622.204
2665.934,623.92
2739.432,647.817
2673.402,625.883
2742.08,654.798
2665.306,623.917
2666.152,624.052
2660.057,621.565
2665.765,620.167
2665.195,621.5
2663.173,622.463
2664.064,622.049
2673.185,625.681
2670.403,630.109
2674.889,630.45
2659.13,621.004
2673.17,625.709
2658.166,620.912
2662.739,620.289
2663.65,623.84
2755.973,657.808
2666.282,624.098
2675.595,629.927
2745.602,649.11
2690.071,631.773
2651.351,615.145
2666.161,624.061
2667.155,622.172
2666.255,624.7
2669.851,624.978
2678.905,628.01
2658.856,625.173
2668.244,626.519
2791.281,672.849
2664.67,620.717
2659.283,619.385
2666.351,624.2
2679.261,630.179
2729.524,649.715
2667.458,625.827
2660.537,621.786
2665.906,621.494
2659.899,622.852
2663.859,620.109
2675.562,627.232
2667.323,626.651
2668.318,626.586
2665.133,620.929
2673.411,625.86
2673.417,625.834
2673.887,626.318
2676.04,627.217
2663.95,627.91
2670.893,625.593
2665.309,621.007
2674.77,627.83
2670.284,629.179
2665.257,626.277
2667.149,625.654
2675.026,629.879
2671.436,625.832
2666.053,628.676
2660.011,622.989
2664.257,626.403
2676.165,628.755
2660.014,622.914
2668.063,626.637
2666.904,628.426
2651.852,620.909
2658.495,623.699
2672.3,626.187
2668.318,626.586
2674.346,626.565
2666.777,628.384
2665.057,627.116
2666.309,621.737
2667.028,629.371
2645.274,617.899
2700.588,649.136
2666.561,626.209
2668.073,626.685
2646.131,622.098
2668.076,626.521
2666.432,626.241
2657.776,624.024
2665.881,626.816
2668.54,632.781
2666.887,630.122
2665.723,626.651
2659.673,619.415
2669.288,629.445
2666.149,625.971
2748.19,659.494
2672.028,626.701
2664.274,626.355
2659.076,623.138
2660.005,624.188
2748.19,659.494
2659.061,621.041
2642.474,615.611
2669.479,629.35
2667.486,629.906
2647.068,619.891
2665.701,625.913
2647.24,617.875
2664.177,621.902
2658.641,621.121
2657.883,621.097
2665.611,621.056
2633.766,604.065
2737.893,650.613
2669.634,625.715
2659.487,621.792
2658.003,621.018
2660.997,620.813
2724.985,649.053
2656.111,623.915
2665.076,627.75
2675.228,629.823
2665.06,626.732
2675.22,629.034
2647.164,619.979
2664.176,621.904
2669.855,629.351
2664.929,620.678
2667.37,623.619
2646.291,618.621
2665.66,622.096
2748.993,654.271
2665.913,623.81
2667.725,626.839
2643.005,616.029
2665.305,623.079
2662.22,620.981
2677.101,629.954
2714.646,644.505
2659.652,622.087
2643.673,616.451
2766.076,664.784
2722.799,648.513
2663.216,620.519
2645.766,619.844
2665.688,625.204
2661.542,620.278
2657.407,622.355
2717.458,644.235
2642.939,620.323
2663.224,622.815
2641.558,620.424
2643.453,616.344
2668.758,628.846
2673.079,627.374
2667.613,627.837
2656.902,620.319
2643.95,618.693
2722.294,647.474
2640.033,617.296
2663.037,620.876
2654.9,620.716
2663.037,620.876
2644.025,618.233
2664.814,622.06
2659.859,624.702
2657.075,624.076
2665.324,627.119
2639.952,618.288
2664.579,624.681
2639.795,618.327
2671.615,627.564
2643.082,616.295
2644.084,618.174
2639.518,617.03
2665.764,623.478
2663.723,624.287
2644.417,616.153
2643.371,622.275
2661.038,623.693
2646.616,620.758
2656.485,622.245
2646.623,620.331
2643.053,615.943
2644.264,623.707
2662.693,620.6
2659.835,621.51
2643.897,616.244
2640.344,616.815
2640.344,616.815
2669.609,606.365
2685.853,630.474
2639.608,618.141
2642.88,619.417
2642.88,619.417
2641.494,617.618
2670.917,625.018
2657.199,620.837
2646.111,618.456
2659.322,624.812
2658.586,622.756
2662.042,624.335
2665.181,621.866
2664.994,622.513
2661.651,624.661
2643.069,619.362
2667.65,624.613
2640.429,616.99
2666.064,623.08
2682.332,619.077
2640.209,617.04
2642.518,616.304
2644.274,616.836
2637.324,614.281
2639.424,617.875
2705.137,629.474
2642.451,618.609
2643.831,616.834
2634.743,613.567
2670.244,622.158
2667.811,623.723
2641.343,620.51
2663.758,621.606
2658.07,621.907
2643.427,616.182
2640.008,588.625
2657.838,621.525
2646.561,618.188
2645.012,617.192
2663.197,624.136
2640.647,617.968
2643.538,616.57
2648.135,614.393
2665.925,621.581
2639.616,618.125
2643.297,616.354
2662.26,623.409
2660.74,624.424
2643.456,617.152
2643.423,616.267
2661.775,620.462
2667.492,624.08
2746.58,670.767
2644.856,618.67
2639.601,618.227
2667.41,624.12
2642.046,615.577
2667.507,624.053
2667.903,623.713
2665.384,620.852
2645.798,617.113
2663.998,621.799
2605.136,577.778
2666.163,622.333
2648.591,621.854
2637.053,614.887
2664.31,621.135
2644.098,616.893
2639.94,616.411
2599.399,583.558
2641.039,617.983
2658.721,627.548
2645.764,617.393
2659.422,620.894
2626.203,600.95
2664.45,621.226
2666.4,624.107
2641.681,618.085
2643.32,616.157
2666.206,622.386
2645.74,617.406
2643.308,616.193
2647.159,617.728
2643.167,615.818
2641.71,618.383
2644.89,616.856
2645.278,616.725
2647.039,619.866
2645.922,619.262
2637.392,615.48
2603.227,581.653
2644.43,616.263
2654.065,609.519
2641.872,616.109
2645.024,618.306
2644.783,617.122
2663.473,623.782
2644.998,617.266
2641.165,614.251
2670.608,627.521
2646.768,619.71
2645.018,616.927
2667.201,618.114
2644.146,616.965
2644.239,617.313
2642.72,616.646
2644.264,617.64
2642.084,618.061
2644.953,616.971
2645.304,617.142
2648.838,620.788
2673.612,635.91
2642.557,615.15
2640.967,619.104
2638.366,588.263
2642.058,615.968
2643.067,617.605
2644.576,618.315
2642.501,617.122
2664.105,620.986
2642.179,616.934
2637.189,609.803
2648.709,621.237
2643.544,616.593
2799.454,639.052
2644.626,617.285
2643.172,617.149
2641.853,616.076
2645.113,619.951
2642.808,616.447
2645.153,620.072
2645.065,618.263
2645.413,620.041
2603.629,577.716
2643,607.123
2667.602,625.996
2641.338,619.359
2643.194,616.973
2648.177,621.533
2647.735,621.297
2644.276,617.783
2643.731,617.32
2647.432,620.268
2647.7,620.713
2647.683,620.693
2644.117,617.554
2642.472,616.951
2643.88,617.906
2644.977,623.18
2643.672,617.251
2644.424,617.764
2675.453,625.916
2644.106,617.649
2644.847,623.074
2612.972,594.465
2647.733,621.314
2644.948,623.124
2662.12,623.095
2643.269,616.936
2647.723,620.8
2646.617,619.178
2642.164,616.897
2690.055,605.568
2645.817,618.624
2627.679,596.99
2648.294,622.148
2638.799,617.889
2655.204,618.578
2647.66,621.249
2644.189,617.632
2618.043,595.812
2647.623,620.72
2651.003,623.942
2650.204,623.018
2641.625,619.668
2675.437,634.809
2647.687,621.245
2645.704,624.085
2645.041,623.134
2672.564,633.833
2648.108,622.099
2703.885,626.765
2643.964,616.958
2644.756,622.562
2646.793,624.729
2646.322,619.407
2640.071,618.511
2718.142,655.634
2719.243,655.523
2722.542,658.694
2722.586,658.73
2648.226,622.052
2657.74,621.27
2723.676,638.535
2646.299,619.938
2645.247,623.304
2666.432,613.45
2646.47,619.25
2645.389,623.949
2726.595,660.623
2644.144,616.959
2647.083,619.87
2639.894,618.066
2644.37,618.135
2644.934,622.637
2639.712,618.439
2651,623.486
2639.958,619.07
2647.839,621.381
2642.092,616.35
2642.954,616.858
2716.169,653.973
2648.046,620.859
2641.757,619.55
2641.403,619.417
2619.108,596.754
2643.994,617.5
2640.538,619.024
2644.781,622.568
2645.601,624.069
2644.138,617.588
2641.623,619.08
2643.732,617.337
2643.601,617.262
2643.681,617.306
2627.184,596.711
2641.305,619.394
2642.991,616.822
2644.691,623.19
2627.066,596.668
2627.426,596.944
2643.768,616.811
2644.423,618.568
2623.798,595.57
2641.136,618.766
2644.156,618.132
2638.783,617.875
2624.491,594.79
2632.482,607.616
2641.766,619.064
2642.772,616.247
2644.648,617.301
2644.096,616.964
2628.225,596.615
2626.324,596.078
2632.994,609.539
2641.092,618.903
2660.936,627.2
2649.169,618.847
2644.628,617.281
2643.715,617.39
2644.436,618.221
2666.173,632.613
2641.969,616.169
2626.469,596.54
2647.868,621.402
2643.8,617.386
2643.776,617.382
2625.239,596.254
2627.401,596.932
2644.323,617.23
2643.096,616.967
2644.47,617.267
2643.42,617.297
2644.052,616.983
2626.127,595.832
2645.1,618.22
2634.468,612.83
2643.122,617.002
2642.608,616.673
2644.423,617.722
2614.775,595.566
2644.545,617.721
2626.71,596.484
2643.3,617.083
2645.075,617.769
2644.154,617.672
2644.634,617.925
2643.417,617.067
2644.486,617.942
2643.296,617.061
2642.352,618.039
2643.266,617.081
2644.848,617.7
2644.277,617.639
2644.499,617.941
2739.893,665.254
2639.831,618.001
2641.013,619.174
2644.217,617.739
2643.205,617.064
2644.834,618.168
2643.801,617.386
2641.898,617.725
2645.106,618.221
2645.425,617.564
2643.661,617.287
2641.121,619.221
2670.416,625.003
2641.875,619.729
2642.429,619.594
2632.502,611.226
2644.661,617.928
2644.452,617.72
2641.164,618.806
2642.137,619.499
2645.556,618.34
2643.526,616.554
2645.51,618.149
2633.214,611.666
2646.804,620.356
2644.67,618.023
2641.409,619.398
2644.432,617.903
2644.939,618.084
2644.289,617.695
2641.054,619.233
2646.016,618.418
2643.501,621.164
2643.271,617.061
2641.672,619.757
2641.72,619.781
2715.313,644.598
2645.536,618.155
2630.752,609.866
2644.856,617.454
2646.878,620.759
2642.581,620.289
2631.23,610.117
2644.872,618.187
2642.23,619.995
2643.839,621.342
2631.623,613.93
2645.301,617.806
2644.393,617.284
2644.695,617.49
2644.032,617.03
2641.635,619.008
2644.461,617.715
2649.489,621.647
2643.593,617.243
2642.138,619.415
2640.819,619.135
2643.475,617.093
2645.473,618.083
2644.391,617.737
2639.945,618.559
2631.251,609.648
2641.579,619.881
2643.874,617.485
2634.31,612.388
2667.935,627.17
2628.57,612.026
2646.574,619.39
2628.525,612.021
2644.868,618.311
2644.572,617.974
2641.068,619.349
2640.585,618.895
2642.368,619.759
2645.015,618.662
2645.757,617.906
2646.913,619.584
2640.583,618.867
2641.925,620.015
2629.558,609.082
2645.881,618.941
2646.738,619.553
2642.764,620.123
2641.127,619.268
2645.8,618.031
2688.566,629.534
2688.566,629.534
2647.783,619.349
2632.154,612.953
2642.236,619.964
2640.955,619.243
2734.185,644.715
2643.863,617.342
2645.993,619.061
2644.22,617.581
2828.199,685.567
2645.306,618.539
2645.314,618.536
2645.799,618.953
2641.343,619.473
2627.665,611.236
2644.668,618.308
2643.817,617.44
2643.759,617.32
2643.865,621.569
2644.71,618.167
2625.62,606.016
2627.279,610.628
2643.172,616.929
2643.037,620.8
2643.109,620.792
2643.994,617.463
2643.586,617.292
2632.193,610.98
2598.913,585.556
2629.862,609.188
2644.53,618.12
2646.384,619.314
2641.908,619.801
2642.603,620.735
2644.844,618.186
2642.232,620.103
2641.994,620.478
2641.272,618.996
2644.419,617.718
2640.255,618.756
2640.76,619.069
2641.69,619.658
2643.087,616.437
2641.919,619.752
2645.133,618.784
2642.329,620.364
2643.158,620.885
2640.784,619.174
2643.75,617.302
2643.918,617.382
2644.002,617.371
2640.974,619.154
2645.068,618.479
2645.289,618.62
2641.093,619.159
2644.006,617.389
2648.871,619.435
2648.842,619.435
2643.638,617.222
2641.926,619.803
2641.752,619.61
2758.197,662.928
2640.672,618.863
2758.197,662.928
2642.218,604.111
2643.422,621.023
2650.15,620.318
2641.936,619.818
2641.71,619.586
2649.82,620.11
2641.822,618.694
2644.009,617.465
2644.711,617.96
2704.173,643.411
2649.829,620.083
2650.255,620.88
2642.196,619.957
2640.62,618.918
2742.657,656.865
2642.294,620.565
2649.408,619.829
2643.353,620.572
2642.317,619.923
2835.734,700.701
2645.103,618.745
2640.017,618.74
2642.037,619.753
2641.737,619.618
2641.893,619.705
2648.603,619.3
2649.538,619.894
2746.898,660.82
2643.082,620.8
2642.904,615.899
2714.17,636.616
2641.569,619.536
2714.216,636.603
2642.054,619.757
2739.887,655.505
2647.657,620.864
2644.824,617.997
2641.01,619.095
2641.86,619.807
2641.939,619.812
2648.421,620.688
2635.357,611.96
2650.294,620.528
2641.82,619.724
2643.838,617.603
2652.09,622.397
2645.02,618.029
2650.082,620.282
2663.267,626.226
2646.15,619.209
2631.19,602.585
2641.145,615.65
2678.77,640.986
2752.034,657.426
2647.707,618.89
2653.919,624.341
2642.809,620.67
2644.899,618.015
,
Results for  RHCtesting testing: ,
Correctly classified 7679.0 instances.,
Incorrectly classified 1362.0 instances.,
Percent correctly classified: 84.935%,
Training time: 126.306 seconds,
Testing time: 0.160 seconds,
,
Results for  RHCtraining set: ,
Correctly classified 29743.0 instances.,
Incorrectly classified 6426.0 instances.,
Percent correctly classified: 82.233%,
Training time: 126.306 seconds,
Testing time: 0.160 seconds,
,
Results for  SAtesting testing: ,
Correctly classified 7046.0 instances.,
Incorrectly classified 1995.0 instances.,
Percent correctly classified: 77.934%,
Training time: 122.291 seconds,
Testing time: 0.140 seconds,
,
Results for  SAtraining set: ,
Correctly classified 28666.0 instances.,
Incorrectly classified 7503.0 instances.,
Percent correctly classified: 79.256%,
Training time: 122.291 seconds,
Testing time: 0.140 seconds,
,
Results for  GAtesting testing: ,
Correctly classified 7257.0 instances.,
Incorrectly classified 1784.0 instances.,
Percent correctly classified: 80.268%,
Training time: 3150.202 seconds,
Testing time: 0.134 seconds,
,
Results for  GAtraining set: ,
Correctly classified 29060.0 instances.,
Incorrectly classified 7109.0 instances.,
Percent correctly classified: 80.345%,
Training time: 3150.202 seconds,
Testing time: 0.134 seconds,
,
,
Process finished with exit code 0,